# Übersetzung für das "javax" Paket

# Sub-Pakete
_tools;             werkzeuge
_swing;             schwing
_accessibility;     zugänglichkeit
_crypto;            krypto
_imageio;           bildrr          # rr = rein-raus
_management;        verwaltung
_naming;            benennung
_net;               netz
_print;             druck
_script;            skript
_sql;               sas
_xml;               eas             # Erweiterbare Auszeichnungssprache
